[2022/09/27 16:35:37][DEBUG](ViewGUI.py:44) Network: ws247 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:37][DEBUG](ViewGUI.py:45) Machine: AMD64 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:37][DEBUG](ViewGUI.py:46) Processor: Intel64 Family 6 Model 165 Stepping 5, GenuineIntel __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:37][DEBUG](ViewGUI.py:47) Platform: Windows-10-10.0.19041-SP0 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:37][DEBUG](ViewGUI.py:48) System: Windows __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:37][DEBUG](ViewGUI.py:49) Release: 10 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:37][DEBUG](ViewGUI.py:50) Version: 10.0.19041 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:37][DEBUG](ViewGUI.py:51) MAC Address: 80E8_2CFB_55FD __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:37][DEBUG](ViewGUI.py:52) Host name: ws247 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:37][DEBUG](ViewGUI.py:53) IP Address: 192.168.56.1 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:37][DEBUG](ViewGUI.py:54) ViewGUI起動 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:37][DEBUG](ViewGUI.py:293) ViewGUI起動完了 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:41][DEBUG](ViewGUI.py:431) フォルダー選択起動 event_set_folder d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:41][DEBUG](ViewGUI.py:609) OverSaveボタン起動 event_Searchsave d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:44][DEBUG](ViewGUI.py:439) D:/OCRTESTPDF/PDFTEST_フォルダー選択完了 event_set_folder d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:44][DEBUG](ViewGUI.py:446) ファイル選択起動 event_updatefile d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:44][DEBUG](ViewGUI.py:609) OverSaveボタン起動 event_Searchsave d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:47][DEBUG](ViewGUI.py:464) PNG変換起動 event_selectfile d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:35:49][DEBUG](PngImagePlugin.py:186) STREAM b'IHDR' 16 13 call d:\PythonScript\RPAScript\OCRFlowVenv\lib\site-packages\PIL\PngImagePlugin.py
[2022/09/27 16:35:49][DEBUG](PngImagePlugin.py:186) STREAM b'IDAT' 41 65536 call d:\PythonScript\RPAScript\OCRFlowVenv\lib\site-packages\PIL\PngImagePlugin.py
[2022/09/27 16:35:52][DEBUG](PngImagePlugin.py:186) STREAM b'IHDR' 16 13 call d:\PythonScript\RPAScript\OCRFlowVenv\lib\site-packages\PIL\PngImagePlugin.py
[2022/09/27 16:35:52][DEBUG](PngImagePlugin.py:186) STREAM b'IDAT' 41 8192 call d:\PythonScript\RPAScript\OCRFlowVenv\lib\site-packages\PIL\PngImagePlugin.py
[2022/09/27 16:35:57][DEBUG](ViewGUI.py:470) D:/OCRTESTPDF/PDFTEST\Hirogin.pdf_PNG変換完了起動 event_selectfile d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:36:00][DEBUG](ViewGUI.py:446) ファイル選択起動 event_updatefile d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:36:00][DEBUG](ViewGUI.py:609) OverSaveボタン起動 event_Searchsave d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:36:02][DEBUG](PngImagePlugin.py:186) STREAM b'IHDR' 16 13 call d:\PythonScript\RPAScript\OCRFlowVenv\lib\site-packages\PIL\PngImagePlugin.py
[2022/09/27 16:36:02][DEBUG](PngImagePlugin.py:186) STREAM b'IDAT' 41 8192 call d:\PythonScript\RPAScript\OCRFlowVenv\lib\site-packages\PIL\PngImagePlugin.py
[2022/09/27 16:36:02][DEBUG](ViewGUI.py:476) D:/OCRTESTPDF/PDFTEST\Hirogin_1page.png_ファイル選択後イベント完了 event_selectfile d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:36:03][DEBUG](ViewGUI.py:525) Tryボタン起動 event_clip_try d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:36:06][DEBUG](ViewGUI.py:559) 画像処理Save起動 event_clip_start d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:36:07][DEBUG](ViewGUI.py:568) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:36:07][DEBUG](ViewGUI.py:568) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:36:07][DEBUG](ViewGUI.py:568) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:36:07][DEBUG](ViewGUI.py:568) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/09/27 16:36:07][DEBUG](ViewGUI.py:568) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
